Detalhes_Cargo,Localizacao,Nome_da_Empresa,Titulo_da_Vaga
,,Bsoft,Bsoft - DESIGN UX
,,F Bank,Videomaker
Temporário,,Netvagas,Designer jr - temporário
R$ 1.400 por mês; Meio período,Home office in Rio de Janeiro - RJ,SUPERCOMM SA,Estagiário de Design
R$ 2.000 por mês,Home office in Rio de Janeiro - RJ,MÉTRICAS BOSS,Designer Jr.
,Rio de Janeiro - RJ,Portal Buscar Vagas,Design Gráfico – Rio De Janeiro – RJ
,,Grupo RBS,Assistente de UX Design
R$ 2.500 por mês; Autônomo / PJ,Brasília - DF,Nexus select,WebDesing e Design
R$ 2.500 por mês,Aparecida de Goiânia - GO,Pacto Energia,Designer Gráfico
R$ 1.000 - R$ 1.500 por mês; Estágio / Trainee,Home office in São Paulo - SP,Marketing Elevation,Estagiário(a) em Design Gráfico
,São Paulo - SP,HERING,HERING | Estilista II - Hering Fem
R$ 2.500 - R$ 3.000 por mês; Efetivo CLT,Rio de Janeiro - RJ,LAN DESIGNERS INTEGRAÇÃO DE SISTEMAS,Suporte Técnico
,Home office in Florianópolis - SC,KEEPS,Design Gráfico Junior/ Híbrido - Florianópolis
Estágio / Trainee; De segunda à sexta-feira,Home office in Brasília - DF,Portal Buscar Vagas,"ESTÁGIO PARA DESIGN GRÁFICO (R$ 400,00 )"
R$ 1.500 por mês; Estágio / Trainee,São Paulo - SP,AtivGreen,Estagiário(a) em Design
